headline,url,content,date_time,tags,article_number
Akhilesh calls for oppn unity for positive change in Maha,https://timesofindia.indiatimes.com/city/lucknow/akhilesh-yadav-urges-opposition-unity-to-oust-bjp-in-maharashtra-elections/articleshow/114703347.cms,"  Lucknow: Samajwadi Party chief Akhilesh Yadav on Monday said a ""united opposition"" will unseat BJP-led Mahayuti alliance in Maharashtra polls and free the state from BJP's communal politics. His statement came a day after SP said it was prepared to field candidates on 20 to 25 seats if seat-sharing talks with INDIA bloc partners for Maharashtra do not work out.SP, which has two sitting MLAs, has already announced candidates on five seats in Maharashtra. The candidates were announced after Akhilesh Yadav toured the assembly constituencies and addressed public meetings there earlier this month.Though SP had initially demanded 12 seats from the MVA, party's Maharashtra unit's announcement to contest 20-25 seats was being seen as more of a pressure tactic to extract the best bargain in terms of seats. Sources in SP said the party is prepared to contest on 6 seats in alliance with the MVA. ""In case seat sharing talks fail, we plan to field candidates on at least 10 seats,"" a senior SP functionary told TOI.In the political circles, Akhilesh's call for opposition unity was being seen as a formal attempt to establish that the party was keen to contest the Maharashtra polls as a part of MVA. In his open letter to ""people of Maharashtra"" and the media posted on X, Akhilesh underlined his commitment to defeat the ""enemies of Maharashtra and bring about a positive change"".""With your awareness, the Maharashtra assembly elections will liberate 'Maharashtra' from the BJP's conspiracies of sabotage and its negative politics of communalism. BJP's negative politics is unable to understand the positive strategy and mutual adjustment of the united opposition. BJP's conspiracy to slowly destroy Maharashtra's economy has been exposed,"" he said in the post in Hindi.Accusing the BJP of having destroyed the ""historic harmony and brotherhood"" of Maharashtraian society, Akhilesh said BJP wants to weaken Maharashtra economically, socially and politically to the extent that the state was no longer seen as the economic leader of the country. ""A joint and organised political strategy will bring an end to the Mahadukhi (extremely sorrowful) period of the BJP-led 'Mahayuti',"" he wrote. Maharashtra goes to the polls on Nov 20 and counting will take place on Nov 23.","  Oct 29, 2024, 00:00 IST","['city', 'lucknow']",114703347
"Man stabs nephewto death, ends life",https://timesofindia.indiatimes.com/city/lucknow/financial-dispute-leads-to-fatal-stabbing-and-suicide-in-gonda/articleshow/114703354.cms,"  Lucknow: Gonda police reported on Monday that Deepak Pandey fatally stabbed his nephew Vinod Pandey over a financial dispute before committing suicide by jumping in front of a speeding train. The bodies were discovered on the morning of Oct26. Initially, the case seemed mysterious, but CCTV footage and call records helped police piece together the events.According to the police, Deepak had given some money to Vinod which he had refused to repay. In the early hours of Saturday, around 4 am, Deepak called Vinod to a deserted area where a heated argument ensued, leading to the stabbing. Overcome with guilt, Deepak later ended his life by jumping in front of a speeding train. The police claim that Deepak informed his family of the incident from there and subsequently took his own life. . This conclusion was reached after reviewing footage from over 350 CCTV cameras.Superintendent of police, Gonda, Vineet Jaiswal said that they examined the footage from Pathanpurwa, the crime scene, to Chitnapur railway crossing. Vijay's father Ram Kumar Pandey named his relative Deepak Pandey as the suspect in his complaint. Deepak's body was later found near Chitnapur railway crossing in the Katra Bazaar police station area.""On the basis of CCTV cameras, it surfaced that Deepak visited his uncle Dinesh Chandra Pandey in Bhairampur after Vijay's murder. Another CCTV footage from a shop near the bus stand confirmed that both Deepak and Vinod were together before the murder,"" said Jaiswal. ","  Oct 29, 2024, 00:00 IST","['city', 'lucknow']",114703354
Mum firm bags riverfront plot,https://timesofindia.indiatimes.com/city/ahmedabad/mum-firm-wins-prime-riverfront-development-rights-in-ahmedabad/articleshow/114703715.cms,"  Ahmedabad: After over a decade of failed attempts, the Sabarmati Riverfront Development Corporation Ltd (SRFDCL) has finally struck a deal, auctioning off development rights on a prime plot on the western side of the riverfront for Rs 156.13 crore.The successful bidder, a leading Mumbai-based real estate company, will now develop a mixed-use commercial building spanning 60,050 sq m, housing upscale offices, co-working spaces, restaurants, retail stores, lounges and a food court.A senior official in SRFDCL told TOI, ""The winning bid for the development rights of the Vallabh Sadan plot came from a Mumbai-based real estate firm, which offered Rs 26,000 per sq m — which is higher than the base price of Rs 23,676 per sq m.""The SRFDCL official added. ""We are not selling the land but development rights of the plot. In a press release, SRFDCL claimed, ""The bid sets a benchmark with a land rate of Rs 3,52,941 per sq m, marking one of the highest land valuations in Ahmedabad.""The auction comes on the heels of the state govt's approval for the Sabarmati Riverfront Land Disposal Policy in July 2024, which paved the way for the sale of development rights for 17 plots totaling 1.49 lakh sq m. ""The successful bidder will now receive the letter of acceptance and must complete the construction in four years,"" the SRFDCL official said, adding that the mixed-use development will feature a building height of 66.13m. ""For the first time a single plot has been approved for commercial mixed-use development,"" claimed the official. Official further added that the land will be leased for 99 years at an annual rate of just Rs 10 per sq m. The successful bidding process, however, was not without its challenges. SRFDCL had initially floated tenders for two plots — one near Vallabh Sadan on the western side and another near Lemon Tree Hotel on the eastern side.""During the pre-bid meeting, private companies raised queries about parking and experience criteria, leading us to amend the tender,"" the SRFDCL official explained. While the Vallabh Sadan plot received bids from two companies, the eastern plot saw only a single bid, prompting authorities to restart the process. "," Oct 29, 2024, 00:06 IST","['city', 'ahmedabad']",114703715
"Denied Palghar ticket, Sena’s Vanga regrets leaving UBT",https://timesofindia.indiatimes.com/city/mumbai/shiv-senas-shrinivas-vanga-regrets-leaving-ubt-after-ticket-denial-for-palghar/articleshow/114704405.cms,"  Mumbai: A day after Shiv Sena announced the name of former MP Rajendra Gavit as its candidate for the Palghar assembly seat, incumbent MLA Shrinivas Vanga on Monday expressed remorse for leaving the Uddhav Thackeray-led party. He accused chief minister Eknath Shinde of not fulfilling his commitment to protect loyal members. Vanga made these statements during an emotional press conference.Vanga, 42, broke down in tears, admitting that leaving UBT was a mistake. He was reportedly at the forefront of arranging the rebels' move to Surat in June 2022. In the 2018 Lok Sabha bypoll, necessitated by the death of his father, BJP MP Chintaman Vanga, Shrinivas Vanga hoped to contest but was asked to make way for Gavit, who won the seat in 2018 and 2019. As compensation, Vanga was given an MLA ticket by the undivided Sena. On Sunday, after Gavit was given the Palghar assembly ticket, Vanga claimed that he was assured an MLC seat. tnn ","  Oct 29, 2024, 00:25 IST","['city', 'mumbai']",114704405
Fires destroy hundreds of ballots in Oregon and Washington drop boxes,https://timesofindia.indiatimes.com/world/us/us-presidential-elections/fires-destroy-hundreds-of-ballots-in-oregon-and-washington-drop-boxes/articleshow/114704357.cms," Authorities investigate smoke pouring out of a ballot box (Pic credit: AP) Authorities on Monday were investigating incidents of early morning fires destroying hundreds of ballots in ballot drop boxes in Portland, Oregon, and Vancouver, Washington.According to the Portland police bureau, officers and firefighters responded to a fire in a ballot drop box around 3:30 am and determined that an incendiary device had been placed inside. Tim Scott, the Multnomah County elections director, said that a fire suppressant inside the drop box protected nearly all the ballots, with only three being damaged. His office planned to contact those voters to assist them in obtaining replacement ballots.Later, in Vancouver, located across the Columbia River, television crews captured footage of smoke pouring out of a ballot box at a transit centre.Vancouver is the largest city in Washington's 3rd Congressional District, which is expected to have one of the closest US House races in the country between first-term Democratic Rep. Marie Gluesenkamp Perez and Republican challenger Joe Kent.Greg Kimsey, the Clark County auditor in Vancouver, told The Associated Press that the ballot drop box at the Fisher's Landing Transit Center also had a fire suppression system inside, but for some reason, it wasn't effective. Responders pulled a burning pile of ballots from inside the box, and Kimsey said hundreds were lost. ""Heartbreaking,"" Kimsey said. ""It's a direct attack on democracy.""Surveillance cameras covered the drop box and surrounding area, according to Kimsey. The last ballot pickup at the transit centre drop box was at 11 am Saturday, and anyone who dropped their ballot thereafter that was urged to contact the auditor's office to obtain a new one.Kimsey said the office will be increasing the frequency of ballot collections and changing collection times to the evening to prevent ballot boxes from remaining full overnight when similar crimes are considered more likely to occur.On October 8, an incendiary device was also found on or near a ballot drop box in downtown Vancouver. It did not damage the box or destroy any ballots, according to police. The FBI and other agencies had been investigating.Both Washington and Oregon are vote-by-mail states, where registered voters receive their ballots in the mail a few weeks before elections and then return them by mail or by placing them in ballot drop boxes.Last week in Phoenix, officials reported that approximately five ballots were destroyed and others damaged when a fire was set in a drop box at a US Postal Service station.","  Oct 29, 2024, 00:23 IST","['world', 'us', 'us-presidential-elections']",114704357
Festival guidelines for police: Intense vigil & prompt action,https://timesofindia.indiatimes.com/city/lucknow/dhanteras-and-diwali-security-measures-police-deploy-enhanced-vigilance-and-crowd-control/articleshow/114703610.cms," 12 Lucknow: Adequate police personnel, including those in plain clothes, will ensure robust security in markets, particularly jewellery and other high-traffic areas, in view of the expected large crowds for Dhanteras and Diwali shopping.DGP Prashant Kumar issued guidelines to all the zonal chiefs and police commissioners ahead of Dhanteras, Diwali, Govardhan Puja, and Bhai Dooj.""Senior officers are instructed to conduct intensive foot patrolling. They should also ensure heightened patrols at hotspots identified from past incidents while picket duties and UP-112 emergency vehicle management should also be smooth,"" said the DGP. Kumar added that all reports, however minor, must be handled promptly. Senior officials and station in-charges should visit incident sites to resolve disputes and mitigate sensitivities, with the involvement of other relevant departments as needed. The officer added that licences for explosive and firecracker vendors should be checked thoroughly. Random and effective inspections of manufacturing sites should be conducted with SDMs, DSPs, station in-charges, and fire department officials. Storage and sale must occur away from residential areas with adequate fire safety measures, and fire department personnel should remain vigilant 24x7. Kumar said strengthened police presence is mandated at railway and bus stations, markets, entertainment venues, parks, and multiplexes.Police station contacts and other important numbers should be widely disseminated for public awareness. Meetings with established peace committees, business associations, and religious leaders should be conducted at district and police station levels to promote community cooperation and support from citizens, committee members, and digital volunteers. ""Lists of anti-social or undesirable elements should be updated, and close monitoring and preventive actions should be taken against such persons,"" he said. ""Crowd control equipment must be in a state of readiness for immediate use. Morning patrols around religious sites should identify any mischief-makers or anti-social elements. CCTV cameras should be checked for functionality, and drones should be used for surveillance at sensitive locations."" the DGP said. ""For Deepotsav event in Ayodhya, access control measures should be firmly in place. Vigilance over all local accommodations, including guest houses, hotels, and eateries, is mandated, and intensive checks on suspicious individuals and areas should be ensured,"" he added. The DGP said that round-the-clock police pickets should be stationed at key locations, with traffic and parking management measures in place. Surveillance should be maintained on Saryu river with dedicated SOPs for river patrol. Proper site checks should be done by AS teams and BDDS teams to ensure safety for high-profile visits. Security standards should be strictly followed for protection of important persons, he said.","  Oct 29, 2024, 00:03 IST","['city', 'lucknow']",114703610
"Woman gets off her BMW, steals flower pot & leaves",https://timesofindia.indiatimes.com/city/noida/bizarre-flower-pot-theft-caught-on-cctv-bmw-womans-shocking-act/articleshow/114704312.cms,"  Noida: A woman was caught on CCTV camera getting off a BMW and stealing a flower pot near a building in Sector 18 on Oct 25. In the footage, the woman can be seen picking up a flower pot placed in front of a shop, and then driving off. The footage showed another person sitting inside the car. The video was extensively circulated on X and has gained significant traction, with people puzzled over the intent behind the act. A similar video was reported from Delhi last year where a person was taken into custody for allegedly stealing flower pots near the entrance of Ambience mall along Delhi-Gurgaon expressway. The video showed two suspects loading the pots into a sports utility vehicle before fleeing. ","  Oct 29, 2024, 00:21 IST","['city', 'noida']",114704312
Coimbatore corporation reclaims OSR land worth 4 crore,https://timesofindia.indiatimes.com/city/coimbatore/coimbatore-corporation-successfully-reclaims-4-crore-osr-land-from-encroachers/articleshow/114704194.cms,"  Coimbatore: The city corporation retrieved an open space reservation (OSR) land that was encroached upon on Krishnamma Naidu Street at Ondipudur on Monday. The value of the reclaimed land is pegged at Rs4 crore. Local residents celebrated this legal victory by distributing sweets and bursting crackers.The issue dates back to 1970, when a layout approval for 60 plots in the locality was granted. The OSR land was converted into a residential plot by forging documents.""With the help of forged documents, an approval was also obtained from the corporation council as well as district collector in 1992,"" said activist S P Thiyagarajan.However, the corporation challenged the encroachment and won a legal battle last week. Corporation commissioner M Sivaguru Prabhakaran said the Madras high court had on October 22 issued a direction to remove the encroachment and take over the land. Subsequently, the encroachment was removed by the authorities.","  Oct 29, 2024, 00:15 IST","['city', 'coimbatore']",114704194
"Student protests escalate in U’khand, 23-yr-old suffers 15% burns after immolation bid in Almora",https://timesofindia.indiatimes.com/city/dehradun/student-protests-turn-violent-in-ukhand-23-year-old-sets-himself-on-fire/articleshow/114704210.cms," 123456 Almora/Dehradun: A 23-year-old MSc student from Almora's Soban Singh Jeena (SSJ) University set himself on fire on Monday as part of ongoing protests against the state govt's decision to cancel student union elections in colleges and universities this year. Deepak Lohani, a candidate for the president's post in the student union at the university, sustained 15% burns, primarily on his hands, stomach, and chest, said doctors.The incident occurred during a protest at Chaughanpata, where Rahul Dhami, the university's current student union president poured petrol on himself. As police tried to de-escalate the situation, Lohani, also a member of the same students's group, set himself on fire after dousing himself with petrol. Police quickly extinguished the flames and rushed Lohani to the district hospital, where he is currently receiving treatment.The issue of students' elections has been simmering for almost a month ever since the deadline given by the state govt to universities for conducting the elections passed. The govt had issued an academic calendar on April 23, directing that student union elections be conducted by Sept 30. However, some of the university administrations failed to organise the elections within the specified time. The matter reached the Uttarakhand high court where a PIL was filed requesting the HC to intervene in getting the student union elections to be held. However, the PIL was dismissed on Oct 24 after the HC accepted the state govt's contention that it is too late into the academic session to hold the elections. Since then, the students' protests have intensified, with several student groups blaming the state govt for stalling the process.In Almora, student organisations had given the call for a protest rally in the Chaughanpata area where they intended to burn effigies of state education minister Dhan Singh Rawat. This came as Amit Bisht, an NSUI member, announced on Saturday that he would self-immolate if their demands were not met by Monday.By Monday morning, Chaughanpata had become a focal point of activity, with students and police bracing for the day's events. Although the crowd's attention was initially on Bisht, it was members of Tiger Group, to which Dhami and Lohani belonged, who sparked the day's volatile turn. The protest quickly escalated, leading to Dhami and Lohani's self-immolation attempts.Afterwards, students continued the demonstration and burnt effigies of the education minister. They warned the govt ""not to test their patience"" and vowed to keep fighting saying they will ""force the state to yield"". Dhan Singh Rawat, reacting to the protests, said, ""We have sought response from the universities regarding the failure to conduct the elections by Sept 30. A double bench of the high court had passed the order to not go against the recommendations of the Lyngdoh Committee, which says that student union elections should be held between six to eight weeks after a new academic session starts. Now the students may approach Supreme Court to challenge the HC's order because universities cannot go against it or the Lyngdoh Committee.""Meanwhile, students from other districts also converged in Dehradun on Monday and marched from Congress Bhawan in the state capital to the secretariat. A third-year student of DAV College, Sagar Semwal, had to be rushed to the hospital after he fell unconscious during the protest. Another group of students from colleges in Dehradun also held a ""funeral march"" for Rawat by taking out a procession from DAV college to the secretariat. Students contended that the last elections were also held after a two-month delay, making the decision to cancel it this year an ""undemocratic move"". ""If the admissions were postponed and the last admission was conducted till Sept 25, then preparation should have been made to postpone the student union elections too. The election process teaches every student to be a democratic citizen of the country and is vital for us,"" said Pradeep Singh Tomar, national coordinator (Uttarakhand), NSUI. The protesting students have announced that they will escalate their agitation if the HC's decision is not revoked and dates of the elections not announced.Earlier, on Oct 18, angry over the college's failure to announce the date for student union elections, three students from Haldwani's Moti Ram Babu Ram Government Post Graduate College had climbed on the roof of the principal's office and threatened self-immolation after pouring diesel on themselves. Cops present at the scene quickly took action and brought the students down from the roof. Later, the students issued an apology for their act.On Friday, SSJ university students had locked the campus gates and marched to Chaughanpata, blocking the highway at Gandhi Park and chanting slogans against the govt. Elsewhere in Dehradun, students have set up tents outside DAV College and Dayanand Brijendra Swarup (DBS) College, where they have been camping since Friday. Several colleges in the district have also been forced to shut down due to the agitation. "," Updated: Oct 29, 2024, 14:36 IST","['city', 'dehradun']",114704210
"Uttarakhand STF arrests brothers accused in Rs 30 crore fraud case, probes 17-member gang",https://timesofindia.indiatimes.com/city/dehradun/uttarakhand-stf-busts-rs-30-crore-fraud-ring-arrests-notorious-brothers/articleshow/114704264.cms,"  Dehradun: The Uttarakhand special task force (STF) arrested two men from Delhi on Sunday, who were allegedly involved in a multi-crore fraud in the Patel Nagar area.Jagdish Bora and Kamlesh Bora face multiple charges, including cases under sections 420, 506, 406, and 120B of the IPC, as well as sections of the Gangster Act. Jagdish had a bounty of Rs 25,000 on him and Kamlesh had a reward of Rs 10,000.The duo, residents of Pithoragarh, allegedly ran a fraudulent investment scheme since 2019, luring around 40-50 locals into investing in the stock market and other high-return ventures. Police estimate that they amassed around Rs 25-30 crore, convincing victims that their invested money would yield profits when the market improved. They also allegedly collected advance payments for supposed low-cost land deals in Haldwani and Nainital.An STF official said, ""The Bora brothers were believed to be part of a 17-member gang with cases filed across various Pithoragarh police stations. Over the past two years, the STF conducted extensive intelligence-gathering and multi-state raids, which led to the arrests.""","  Oct 29, 2024, 00:18 IST","['city', 'dehradun']",114704264
