sector,ticker_symbol,company_name,market_cap,company_link
abrasives,WENDT,Wendt India,"3,029.00",/company/WENDT
abrasives,GRINDWELL,Grindwell Norton,"23,492.57",/company/GRINDWELL
abrasives,CARBORUNIV,Carborundum Univer.,"26,272.53",/company/CARBORUNIV
advertising_media,SCRIP-300010,Navoday Enterprises,7.21,/company/SCRIP-300010
advertising_media,SIGNPOST,Signpost India,"1,229.35",/company/SIGNPOST
advertising_media,MAXPOSURE,Maxposure,214.22,/company/MAXPOSURE
advertising_media,SCRIP-131259,Esha Media Research,10.96,/company/SCRIP-131259
advertising_media,SCRIP-306573,Maagh Adv. & Mkt.,492.55,/company/SCRIP-306573
advertising_media,SCRIP-308505,Bright Outdoor Media,691.07,/company/SCRIP-308505
advertising_media,VERTOZ,Vertoz,"1,304.02",/company/VERTOZ
advertising_media,VERITAAS,Veritaas Advertising,38.08,/company/VERITAAS
advertising_media,CRAYONS,Crayons Advertis,251.63,/company/CRAYONS
advertising_media,SCRIP-293001,DAPS Advertising,13.45,/company/SCRIP-293001
advertising_media,SCRIP-308814,Innokaiz India,41.98,/company/SCRIP-308814
agriculture,SCRIP-106166,Apis India,147.15,/company/SCRIP-106166
agriculture,SCRIP-237872,Jayatma Spinners,6.28,/company/SCRIP-237872
agriculture,SCRIP-107530,Asin Food Prod,3.02,/company/SCRIP-107530
agriculture,SCRIP-119479,Omega Ag-Seeds,13.59,/company/SCRIP-119479
agriculture,SCRIP-132645,Beeyu Overseas,8.27,/company/SCRIP-132645
agriculture,KANELOIL,Kanel Industries,3.61,/company/KANELOIL
agriculture,NIRMAN,Nirman Agri Genetics,258.27,/company/NIRMAN
agriculture,SCRIP-119566,Simran Farms,80.12,/company/SCRIP-119566
agriculture,SCRIP-272547,Raghuvansh Agro,116.79,/company/SCRIP-272547
agriculture,NATHBIOGEN,Nath Bio-Genes,361.08,/company/NATHBIOGEN
agriculture,KOTYARK,Kotyark Industries,"1,182.10",/company/KOTYARK
agriculture,BSHSL,Bombay Super Hybrid,"1,720.97",/company/BSHSL
